P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P01909027A0922|124 156|Drosophila homeotic protein fork head
P09111048X0000|124 151|neuronal nitric-oxide synthase
P10233147A0218|124 150|cAMP-dependent protein kinase
P01452037A0000|124 147|triosephosphate isomerase
P08820648A0123|124 145|nrdAB-defective mutants
P03296254A0556|124 143|factor II and factor VII
P11069756A2618|124 142|focal adhesion kinase
P01864837A1029|124 141|rat alpha 1-protease
P07478523A0551|124 140|RET protein isoform
P11433014A0683|124 140|endogenous protein
P10567538A1028|124 140|E1A-binding region
P03076124A0496|124 139|HMG CoA) reductase
P10982391A0425|124 139|N-terminal domain
P08628255A0932|124 138|E2F-binding site
P11181548A0214|124 138|5-kb DNA fragment
P10392900A1020|124 138|RNA polymerase II
P08654375A0544|124 136|DNA binding POU
P08825636T0000|124 136|I kappa B-gamma
P07876210A0751|124 135|P450BM-3 gene
P09139892A1150|124 135|crp promoters
P08581174A0472|124 134|QUTA protein
P10777586A1022|124 134|DNA-protein
P09806826A1773|124 134|murine locus
P10385395A0000|124 134|HDL particle
P08943354A0295|124 133|Tyk2 kinase
P11127200A1024|124 132|TGF-beta1
P02555177A0488|124 131|COX3 gene
P09618150A0127|124 131|UCP1 gene
P10402467T0000|124 131|integrin
P08288240A1343|124 131|stathmin
P02204623A0000|124 130|insulin
P03354341A0177|124 129|inulin
P10567430A0785|124 129|Galpha
P09426958A0110|124 129|E. coli
P09806857A0854|124 129|Pac25I
P07507207A0991|124 128|IRF-1
P11274357A0724|124 128|Cdc42
P09261155A0833|124 128|IRS-2
P07623807A0162|124 128|v-Src
P10541550A0487|124 128|DmORC
P11042199A0572|124 128|Ca(2+
P08798700A0134|124 128|Rox1p
P09781874A1061|124 128|cwg2p
P07708058A0178|124 128|c-fos
P01698761A1059|124 127|AlgP
P08145646T0000|124 127|rpoN
P07902583A0545|124 127|Swi5
P10611235A1927|124 127|MAPK
P11075929A1657|124 127|ThlB
P02110145T0000|124 127|CfiA
P10744749A0315|124 127|MyoD
P07958898A1050|124 127|VP16
P08589735A0577|124 127|Ubi1
P01588270A1029|124 126|DBP
P01918070A0281|124 126|rGH
P08710377A0577|124 126|BCR
P08972182A0527|124 126|ICE
P08306959A0278|124 126|GAS
P10644357A0935|124 126|VP3
P10548434A1549|124 126|JNK
P11369700A0074|124 126|GL)
P10428811A0628|124 126|Arf
P11207282A0729|124 126|IgM
P09860979A0521|124 126|Crk
P11038118A0000|124 126|BSA
P11463834A0606|124 126|Tax
P11053370A0708|124 126|Uhp
P08995410A1109|124 126|p66
P02969316A0002|124 126|ANP
P09312028A0975|124 126|RXR
P09417941A1287|124 125|LG
P11208814A0673|124 125|m7
P09197408A0126|125 171|DNA binding, leucine zipper-like heptad repeat motifs
P11554469A1386|125 165|non-cellulosic (1-->4)beta-glycan synthases
P10681588A0899a|125 156|CCAAT enhancer-binding protein beta
P10681588A0899b|125 156|CCAAT enhancer-binding protein beta
P10757983A0733|125 153|Kruppel-like zinc finger protein
P08550564T0000|125 151|human interleukin-8 receptor B
P09305755A0540|125 149|hepatocyte nuclear factors 1
P09710614T0000|125 148|phosphoinositide 3-kinase
P09115395A0478|125 146|Elongation factor 1gamma
P09006910A0000|125 145|human RXRgamma2 isoform
P10454568A0815|125 145|epidermal growth factor
P10715325A0834|125 145|ETHYLENE-INSENSITIVE2
P01380454A0451|125 144|Hela cell AP-1 proteins
P10903733A0540|125 144|TRAF3 adaptor proteins
P08035499A0941|125 144|protein-DNA complexes
P07721878A1163|125 144|Fc epsilon R1 beta chain
P10570996A1213|125 142|TK class II receptors
P01895393A0745|125 140|RNA polymerase III
P08468475A1280|125 140|IL-2R beta subunit
P09108029A0399|125 139|DNA repair enzyme
P10894149T0000|125 139|orphan receptors
P07704273A0000|125 138|beta-lactamase
P08836172A1382|125 137|myogenin mRNAs
P11560992A0000|125 137|stress kinases
P09880029A0703|125 137|FBNYV proteins
P07742363A0135|125 136|alpha subunit
P08257754A0711|125 136|HB antibodies
P08617311A0979|125 135|Xenopus mIgY
P10471721A0141|125 135|pollen S gene
P09308738A1216|125 134|factor VIII
P09632734A0081|125 134|Rab3 family
P02107548A0727|125 133|human ARF 4
P10080875A0772|125 133|NF-kappaB
P11486476A0147|125 133|myoglobin
P11390650A0562|125 133|P-1 domain
P10681562A0263|125 133|PPARgamma
P08509430A0372|125 132|psaB gene
P08621384A0935|125 132|PKCdelta
P10223338A1601|125 131|HIV-1RF
P06278424A0145|125 130|MPC-11
P08350398A1616|125 130|alpha 2
P10826946A1198|125 130|human V
P11369700A0616|125 130|3' site
P01849509T0000|125 129|ISRm3
P09209372A0345|125 129|AML1b
P07687541A0200|125 129|prp20
P08098842A0660|125 129|c-fos
P08072547A1009|125 129|c-Fos
P09882303T0000|125 129|TRAF2
P07579695A0336|125 128|CEP1
P08376796A0172|125 128|IgG1
P10200473A0171|125 128|FLIP
P11221845A1713|125 128|mlt 1
P11223257A0404|125 128|PP2A
P09786197A0322|125 128|csrS
P09882303A1984|125 128|CD40
P08550467A0863|125 128|scrB
P09238860A0175|125 128|CREB
P01348590A0000|125 127|CD4
P08615025A1214|125 127|Env
P10493575T0000|125 127|p53
P10491187T0000|125 127|HPr
P09886850A0145|125 127|MEK
P07988730A0220|125 127|CAT
P11559564A0459|125 127|SF2
P06336045A0261a|125 127|TRP
P06336045A0261b|125 127|TRP
P04014861A0000|125 127|SOD
P09343210A1112|125 127|Tax
P02489032A0000|125 126|JL
P03953361A0000|125 126|CK
P07540866A1069|125 125|Y
P10775267A0363|125 125|F
P11730182A0984|125 125|p
P09420220A0070|125 125|J
P08566754A0783|126 166|alternative splicing factor/splicing factor 2
P01648530A0000|126 161|cardiac actin-beta-globin reporter gene
P08722011A0103|126 158|Saccharomyces cerevisiae protein L15
P09547311A1394|126 155|desmoglein 1 intracellular domain
P11095248A0423|126 155|NH2-terminally truncated product
P10778757A0000|126 155|seed-specific cell wall invertase
P01692962A0980|126 152|cAMP-dependent protein kinase
P08386318A1102|126 152|calmodulin-dependent kinases
P08842143A0000|126 149|hupSLCDEFGHIJK-hypABFCDE
P10767560A0105|126 147|mouse Pkr promoter region
P09005273A1558|126 146|butyrylcholinesterase
P10669596A0430|126 146|ATP-dependent nuclease
P01692135A0783|126 145|Fc gamma R-related mRNA
P09139910A0350|126 144|leuA-specific probes
P08522511A1578|126 143|beta-glucuronidase
P10827952A0158|126 142|histone H4 peptides
P01316680A0643|126 141|C-X2-4-C-X2-15-C
P09050867A0542|126 141|TN control element
P10413676A0595|126 141|SH3 binding region
P08647086A0720|126 140|nuclear proteins
P07803809A1852|126 139|protein kinase C
P09524267A1023|126 139|helicase motifs
P09353296A0510|126 139|E. coli products
P09085842A0181|126 138|U1-70K protein
P09151152A0174|126 138|X and factor VII
P01329039A0239|126 137|bHLH proteins
P09321657A0439|126 137|cox3 promoter
P08817323A0714|126 137|DXS6673E gene
P08463320A1219|126 137|SSB tetramers
P01406630A0545|126 136|DNA-protein
P01740448A1735|126 136|Pro II region
P01783088A1136|126 136|fibronectin
P01333047A0404|126 135|Nck protein
P08916960A1331|126 134|bcl-2 gene
P08637006A0000|126 133|E2F sites
P08914388A1645|126 133|AM-1155*
P08034741A0000|126 132|myosin I
P08262054A0565|126 132|Tyr-X-X
P01396572A0320|126 131|Z-form
P10359663A1280|126 131|GATA-3
P11018028A0263|126 131|RasGEF
P10606245A0906|126 131|OC box I
P02958204A0175|126 131|HDL2-C
P09382924A0131|126 131|PSMB10
P08248246A0838|126 131|R1 gene
P01690812A0000|126 130|type I
P09501982A1178|126 130|Notch
P08618433A0000|126 130|STK-1
P10980416T0000|126 130|Pit-1
P11238375A0617|126 130|MAPKs
P11092886A0341|126 130|PEPCK
P08552045A0973|126 130|Cpflp
P06782869A0263|126 129|SGOT
P09339900A0939|126 129|NF-Y
P09180687A0096|126 129|SulA
P09786932A1042|126 129|IFNA
P09346925A0660|126 129|Grb2
P09307065A0553|126 129|M(-1
P11094066A0505|126 129|PI3K
P11034392A1072|126 129|CD40
P02376023A0307|126 128|IgE
P09536028A0945|126 128|EGF
P08134115A1161|126 128|myc
P09256973A0673|126 128|MRT
P10235265A0197|126 128|Clb
P11278848A1316|126 128|Sp1
P02743981A0347|126 128|NAB
P09753774A1642|126 128|GF4
P08144572A0786|126 128|BiP
P11119611A0428|126 128|PEL
P07521009A0377|126 126|G
P08355680A0824|127 159|endogenous gene encoding gamma-actin
P09519830A0282|127 159|wild-type or mutant ICP34.5 promoters
P07499421A0237|127 158|chloramphenicol acetyltransferase
P10026146A0680|127 158|type I cAMP-dependent protein kinase
P08891337A0614|127 155|homologous cAMP response element
P09148935A0805|127 155|c-Src binding site Phe-397 mutant
P08955111A0989|127 154|human activin betaA subunit gene
P09090054A0186|127 152|extra alpha-glucosidase gene
P09423310A0251|127 150|Factor VIII related antigen
P10476970A0542|127 150|heterotrimeric G-proteins
P09647233A0336|127 148|long terminal repeat (LTR
P09317131A1332|127 146|human IgE germline gene
P11481625A0202|127 146|peginterferon alfa-2b
P01757341A0591|127 145|alkaline phosphatase
P09079650A0136|127 144|Hog 1 protein kinases
P00232456T0000|127 143|transforming genes
P10376877A0611|127 142|C-terminal region
P07888623A0721|127 141|MAP kinase MsERK1
P09341139A0690|127 140|beta-arrestin 1
P11463359A0167|127 140|G6Pase promoter
P09346938A1680|127 140|cathepsin B mRNA
P10380232A0000|127 139|5-HT3 receptor
P10477620A0580|127 139|I kappa B kinase
P08483412A0000|127 137|NifA protein
P06321505A0401|127 136|S1 nuclease
P10657899A0685|127 136|luciferase
P02828926A1870|127 135|actin gene
P10850453A1292|127 135|TGF-beta1
P08709245A1521|127 135|large HDAg
P07629196A0274|127 135|Jun kinase
P07642544A0868|127 135|NF-kappa B
P01398074A1081|127 134|RNase MRP
P03619249A0428|127 134|anti-HBc
P01765095A0680|127 134|myogenin
P07890674A0916|127 134|catenins
P10579331A1225|127 134|SREBP-1a
P03312514A0756|127 133|insulin
P11313961A1323|127 133|p53 gene
P08997490A1127|127 133|albumin
P00055040A0000|127 132|fibrin
P09171235A0851|127 132|TRbeta
P10493580A1126|127 132|lipase
P10713453A0172|127 132|Hrb57A
P10446149A0809|127 132|RalGDS
P08041793A0242|127 131|COX5b
P10705380A0629|127 131|BMP-4
P11390581A1203|127 131|EBNA1
P10612044A1180|127 131|rpL34
P09002672A0439|127 131|hTRF1
P11005831A0242|127 131|AREB1
P01918070A0281|127 130|T3RE
P10490826T0000|127 130|Pbx1
P09269900A1035|127 130|JunD
P11409425A0000|127 130|t-PA
P09882499A0231|127 130|Pax6
P09723896A0000|127 130|PPRE
P10721704X0000|127 130|mHuA
P09716179A0974|127 130|WAF1
P09843572A0944|127 130|Wee1
P11254504A0766|127 130|p300
P02993630A1190|127 129|G-A
P08394019A0695|127 129|Fyn
P09050847A0180|127 129|SL1
P08918464A0225|127 129|STK
P07739544A0364|127 129|Myc
P10747099A0507|127 129|Crk
P10658588A0304|127 129|HB3
P10628971A0824|127 129|VPS
P07540866A1069|127 128|F2
P08406419A0155|127 128|MA
P11319098A0164|127 128|L1
P10794405A0000|127 128|H1
P09405685A0113|127 127|A
P11207261A1421|128 180|cytoplasmic Src homology 2-domain-containing phosphatases
P07983011A0617|128 175|microtubule-associated protein kinase kinase kinases
P09564860A2139|128 173|M2Ach-muscarinic and alpha2A-adrenergic receptors
P01702426A0196|128 153|avian fatty acid synthase gene
P09914156A1496|128 153|collagen-dependent promoter
P09889202T0000|128 151|helix-turn-helix proteins
P03818467A0180|128 148|glutathione peroxidase
P07525548A1380|128 146|fibronectin variants
P09556573A1062|128 146|co-activator RIP-140
P10373507A0680|128 144|smooth alpha-actin
P11056007A0224|128 144|Enhancer-of-zeste
P08816759A0000|128 143|nuclear receptors
P08898866A0458|128 143|annexin II mutants
P08663219A0246|128 142|CAT reporter gene
P02251119A0319|128 140|heat shock gene
P02523800A1178|128 139|alpha-factor
P07891685A1051|128 139|CAT8 promoter
P07526609A0736|128 138|wild-type S4
P11112700A1936|128 138|desmoplakin
P08576131A0685|128 138|USF proteins
P08574583A0658|128 137|sim mutants
P10987280A0604|128 137|matrilysin
P09927570A0507|128 137|E1 products
P01294345A0591|128 136|prolactin
P09182990A0245|128 136|SUP45 gene
P11595813A0633|128 136|aromatase
P09837907A0857|128 136|NF-kappaB
P09372287A0296|128 136|C1 segment
P10938102A1359|128 136|viral mRNA
P06131378A0818|128 135|DHFR cDNA
P08636149A0220|128 134|insulin
P08208540A0417|128 133|p84/85
P08274774A0958|128 133|TMV-U5
P11241672T0000|128 133|STAT-6
P11152344A0416|128 133|fibrin
P02576405A0223|128 132|VP-16
P09028942A0000|128 132|egr-1
P09334330A0252|128 132|daf-3
P07574064A1416|128 132|min-1
P10861909A0502|128 132|ura4+
P09504906A0099|128 132|Hap1p
P08624445A0257|128 132|wx-m9
P08917435A0481|128 132|c-fos
P07651424A0743|128 132|Ssm1p
P08332492A0145|128 132|HIV-1
P08576131A0151|128 132|USF2b
P00954819A1041|128 131|AChE
P02158927A0000|128 131|RAD7
P10752475A1376|128 131|CD20
P02691998A0672|128 131|ET-1
P01386897A0000|128 131|CLN2
P10611320A0816|128 131|Cdk7
P09367392A0567|128 131|RNA3
P02183467A0668|128 130|vif
P08995410A1109|128 130|p48
P08640866A0473|128 130|MEK
P09482902A0423|128 130|p16
P10548434A1549|128 130|SPK
P10428811A0628|128 130|GAP
P09254678A0106|128 130|PLP
P10913304A1180|128 130|PE1
P09366517A0835|128 130|WT1
P09564860A2315|128 130|GGH
P08044802A0462|128 130|p53
P11564871A1184|128 130|TBP
P08631934A0000|128 129|YG
P07521009A0377|128 128|T
P11369700A0074|128 128|C
P08585957A0101|129 158|Drosophila trithorax gene product
P08598449A0784|129 158|src-like protein tyrosine kinases
P08188603A0230|129 157|carbamoyl-phosphate synthetase
P10409699A0292|129 151|full-length coding region
P07558583A0562|129 150|Src-like tyrosine kinase
P08816459A0090|129 148|retinoic acid receptor
P08756332A0000|129 146|protein kinase c-Raf
P07844142A0640|129 145|GTPase superfamily
P08182041A1067|129 145|PEPCK TATA sequence
P06407348A0516|129 144|cardiac receptors
P11207288A0897|129 144|class Ia molecules
P09524259A0301|129 143|insulin receptor
P02010912A0366|129 142|pulCp promoters
P02590097A0093|129 142|IgA--Type Kappa
P10369418A0644|129 142|NF-kappaB sites
P09447973A0168|129 141|mSos C terminus
P08550476A0610|129 140|epiA promoter
P10850719A0680|129 140|Jbeta12-RSSs
P10534402A0126|129 140|Spo11p family
P09710599A0310|129 140|ets-2 protein
P08861955A0927|129 139|Rab proteins
P09367676A0275|129 139|mouse TS mRNA
P01690728A1166|129 138|S1 nuclease
P09064659A1055|129 138|human HUPF1
P03721594A0000|129 138|fibrinogen
P06325415A0757|129 138|Ad5 protein
P07696450A0271|129 137|TGF-beta 2
P09843944A0976|129 137|UP element
P11600314A0000|129 137|vitamin B1
P11160307A0394|129 137|wH22xeGFP
P09059039A0850|129 137|C4 segment
P02582918A0000|129 136|anti-HBs
P07494274A1015|129 136|alpha TIF
P10510295A0606|129 136|GLK1 gene
P11090762A0527|129 135|alpha-1
P08088777A0754|129 134|Epb7.2
P09011744A0790|129 134|Grin2d
P02229068A0156|129 133|gp120
P11207308A0999|129 133|STAT1
P08382769A0924|129 133|SRP54
P10468585A0980|129 133|Hap46
P07707531A0550|129 132|ICP4
P10036191A0000|129 132|Mitf
P08034318A0724|129 132|NF-1
P10585491A0945|129 132|AtpC
P10327051A0688|129 132|p300
P08455623A0630|129 132|GAR1
P01618256A0521|129 131|l-1
P10207087A0956|129 131|MEF
P11113179A0541|129 131|CBP
P10416558A0000|129 131|CD4
P09668063A0274|129 131|Ras
P09886850A0145|129 131|ERK
P09765394A1590|129 131|CAT
P11559564A0459|129 131|ASF
P09405685A0113|129 130|T)
P11419938T0000|130 153|diphtheria toxin repressor
P02156828A0164|130 152|actin-modulating protein
P07936650A0656|130 152|Ets-2-Conserved sequence
P10706736A1091|130 150|gp100-derived epitopes
P07483276A0139|130 149|herpes simplex virus-1
P07758459A1277|130 149|HAP2/3/4 binding motif
P01871135A0295|130 148|rat liver glucokinase
P11282395A0530|130 146|DNA repair proteins
P01313846A0850|130 145|melanoma Ag MUC-18
P10611225A1127|130 145|C-terminal region
P01398071A0526|130 144|RNA polymerases I
P11376687A0344|130 144|B-type MTH1 mRNAs
P08584035A0740|130 144|3 beta I-A element
P09312028A0975|130 143|RAR AF-2 domains
P09651383A0967|130 143|apoCII promoter
P09736697A1107|130 143|wild-type Stat3
P01714902A0221|130 142|interleukin-2
P09111340A0240|130 142|chimeric genes
P10235265A0197|130 142|cyclin subunit
P08413239A0490|130 142|U2 transcripts
P07504171A1214|130 141|Src SH2 domain
P08770981A0328|130 141|vWF multimers
P10623804A0808|130 141|Fc gamma RIIB1
P08569684A0000|130 141|PKC) proteins
P01740437A0851|130 140|fibroglycan
P08794348A1067|130 140|NIa proteins
P09297698A0933|130 140|enolase gene
P02445751A0925|130 139|hem2 mutant
P02107073A0584|130 138|wild-type
P09806857A0854|130 138|R-M operon
P09731513A1090|130 138|HTLV-I Tax
P02462523A0394|130 138|P-element
P02139891A0532|130 138|EIIF sites
P08589735A0577|130 138|rice actin
P08552093A0657|130 138|G proteins
P07913891A0174|130 137|Hox genes
P09482902A0942|130 137|cyclin D2
P10542281A0382|130 137|G1 domain
P08804389A0893|130 137|Ltp4 mRNA
P08552042A1497|130 136|A)+ mRNA
P10200473A0171|130 136|I-FLICE
P09360422A0135|130 136|D-dimer
P09924987A0000|130 136|23S rRNA
P08818718A1229|130 136|GC cDNAs
P02559630A0270|130 135|fibrin
P10364159A0813|130 135|4E-BP1
P09840934A0435|130 135|RalGDS
P10684265T0000|130 135|hSMT3b
P01324385A0329|130 134|HIV-1
P08891346A1217|130 134|FGF8a
P03185540T0000|130 134|TFIID
P08721989A1012|130 134|beta c
P07542616A0486|130 134|eIF-3
P10727433T0000|130 134|CSF-1
P07537851A0891|130 134|VCAM1
P10629035A0827|130 134|cdc17
P07902583A0545|130 134|Grf10
P01982997A1104|130 134|c-Jun
P02052544A0641|130 133|DPB2
P09572990A0630|130 133|hSIE
P10825200T0000|130 133|IL-2
P10933728A1398|130 133|CBF2
P10744749T0000|130 133|p300
P08003700T0000|130 133|atp6
P11274184A1068|130 133|Nrf2
P09169475A0772|130 133|STAT
P08626325A0543|130 133|UmuD
P10212278A0387|130 133|SAPK
P07579695A0336|130 133|CBF1
P02743981A0347|130 133|L11e
P01309815A0972|130 132|AEP
P08566747A0756|130 132|SBF
P08134115A1161|130 132|H-P
P10074425A0729|130 132|p27
P08932363A0807|130 132|CBP
P11431348A0000|130 132|MEK
P09763470A1756|130 132|Sp1
P11208814A0673|130 131|m8
P07521009A0377|130 130|A
P11369700A0074|130 130|H
P02110145T0000|131 160|Bacillus cereus beta-lactamase II
P10648619A0000|131 154|silkworm tRNA(C)(Ala) gene
P03001086A0587|131 152|heat-inducible dnaK gene
P08076631A0000|131 150|human osteocalcin gene
P10890911A0470|131 149|Xenopus homeobox gene
P08093616T0000|131 148|DNA polymerase alpha
P01314457T0000|131 147|Epstein-Barr virus
P11094075A0257|131 147|v-ras-Ki oncogenes
P09573202A0900|131 146|N-terminal domain
P10556028A0292|131 146|RepA binding sites
P09858581A0183|131 146|Ts) mutant prp38-1
P08524314A0216|131 145|Gal4-type family
P08861963A0375b|131 145|rrnBP1 UP element
P09190202A0166|131 144|150-kDa protein
P01516829A0460|131 143|lexA operators
P09024805A0905b|131 143|BZLF1 promoter
P07476975A0492|131 142|POMC products
P08749394A0874|131 141|mouse Notch1
P08921387A1182|131 141|EZH1 protein
P09171389A0549|131 141|Thermus PyrR
P10836786A0516|131 141|RNase MRP RNA
P11108151A0560|131 141|EGF-R mutant
P08630548A0000|131 140|TNF-alpha]
P09372950A1283|131 140|human U2 RNA
P01702972A0613|131 139|G0S30 cDNA
P10675331A0600|131 139|cortactin
P07689154A0168|131 139|pp60v-src
P10438627A0885|131 139|tRNA(Asp)
P04014861A0000|131 138|catalase
P09829843A0819|131 138|rHu G-CSF
P10619353T0000|131 137|COUP-TF
P11000521A0588|131 137|Ret-9bp
P09307065A0553|131 136|sec(-1
P07935471A0613|131 135|hHSF1
P09151837A0723|131 135|Rep78
P10781423A0993|131 135|TTF-1
P09849961A0387|131 135|IRS-1
P09339900A0939|131 135|c-Myc
P09708450A0648|131 135|G-CSF
P07954475A0714|131 135|C3AF1
P06782869A0263|131 134|SGPT
P08412620A0688|131 134|VirF
P08652081A1953|131 134|IL-3
P07687541A0200|131 134|srm1
P09920930A0959|131 134|AP-1
P09192998A0356|131 134|rrnB
P10359575A0317|131 134|hIgA
P08223613A0105|131 134|fdp1
P09829836A0000|131 134|CDKs
P11000250A0200|131 134|CD40
P11207609A0994|131 134|VSVG
P02793216A0876|131 133|CgA
P09271394A0558|131 133|TIR
P10068446A0124|131 133|PKC
P10713175A1399|131 133|p53
P10976413A0514|131 133|FSH
P10233885A0899|131 133|p32
P10543728A0358|131 133|E1A
P10526670A1828|131 132|CK
P10594903A0000|131 132|GB
P08631934A0000|131 131|A
P08813900A1088|131 131|P
P10567430A0785|131 131|s
P02138707A0198|132 174|murine class II major histocompatibility complex
P01309593A1092|132 170|immunoglobulin light- and heavy-chain genes
P10395908A0236|132 170|G-protein coupled membrane-bound receptors
P07867622X0000|132 170|neuron-specific GTPase-activating protein
P01826043A0431|132 164|cyclic AMP-dependent protein kinases
P08614410A0000|132 163|glycoprotein hormone alpha-subunit
